image_name,strategy,direct_accuracy,neighbor_accuracy,ssim
image_90.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_91.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_92.jpg,PaikinTal_Constraint,0.0000,0.4821,0.4612
image_93.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_94.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_95.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_96.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_97.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_98.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
image_99.jpg,PaikinTal_Constraint,1.0000,1.0000,1.0000
